400 4 5
0.380953 0.579167 0.902256 0.162907 
0.110276 0.495833 0.403509 0.348371 
0.879699 0.967500 0.060150 0.719298 
0.954887 0.619167 0.629073 0.964912 
0.320801 0.438333 0.385965 0.819549 
0.656641 0.804167 0.200501 0.203008 
0.270677 0.992500 0.561403 0.218045 
0.037594 0.912500 0.907268 0.200501 
0.864661 0.390833 0.213033 0.671679 
0.463659 0.162500 0.235589 0.799499 
0.097744 0.771667 0.401003 0.127820 
0.822056 0.965000 0.461153 0.250627 
0.869674 0.005000 0.764411 0.904762 
0.035087 0.729167 0.651629 0.012531 
0.634086 0.539167 0.142857 0.992481 
0.310777 0.799167 0.596491 0.962406 
0.303259 0.225833 0.225564 0.360902 
0.774436 0.012500 0.320802 0.874687 
0.666667 0.430833 0.854637 0.699248 
0.959900 0.529167 0.649123 0.132832 
0.393484 0.020000 0.421053 0.829574 
0.894737 0.075000 0.373434 0.907268 
0.944863 0.413333 0.714286 0.486216 
0.832080 0.970000 0.228070 0.634085 
0.882206 0.333333 0.177945 0.523810 
1.000000 0.455833 0.160401 0.190476 
0.857143 0.741667 0.619048 1.000000 
0.889724 0.736667 0.624060 0.368421 
0.809524 0.480833 0.375940 0.894737 
0.107770 0.840000 0.749373 0.578947 
0.516291 0.624167 0.601504 0.937343 
0.155389 0.120000 0.937343 0.769424 
0.766917 0.365833 0.335840 0.518797 
0.245614 0.952500 0.035088 0.105263 
0.085213 0.855000 0.954887 0.796993 
0.739349 0.195833 0.769424 0.102757 
0.729323 0.852500 0.095238 0.914787 
0.000000 0.428333 0.563910 0.927318 
0.025063 0.320833 0.092732 0.072682 
0.601504 0.283333 0.390977 0.593985 
0.506266 0.611667 0.175439 0.726817 
0.240601 0.090000 0.423559 0.413534 
0.290727 0.519167 0.897243 0.456140 
0.759399 0.816667 0.553885 0.325815 
0.075189 0.599167 0.864662 0.614035 
0.578947 0.198333 0.674185 0.418546 
0.764411 0.504167 0.536341 0.120301 
0.651629 0.415833 0.914787 0.107769 
