400 4 5
0.000000 0.000000 0.000000 0.000000 
0.501961 0.500835 0.501961 0.500978 
0.250980 0.751252 0.250980 0.751468 
0.752941 0.250417 0.752941 0.250489 
0.125490 0.626043 0.878431 0.876712 
0.627451 0.125209 0.376471 0.375734 
0.376470 0.375626 0.627451 0.125245 
0.878431 0.876461 0.125490 0.626223 
0.062745 0.939065 0.690196 0.313112 
0.564706 0.438230 0.188235 0.814090 
0.313725 0.187813 0.941176 0.563601 
0.815686 0.688648 0.439216 0.062622 
0.188235 0.313022 0.313725 0.688845 
0.690196 0.813856 0.815686 0.187867 
0.439215 0.563439 0.062745 0.438356 
0.941176 0.062604 0.564706 0.939335 
0.031373 0.532554 0.407843 0.219178 
0.533333 0.031720 0.909804 0.720157 
0.282353 0.282137 0.156863 0.970646 
0.784313 0.782972 0.658824 0.469667 
0.156863 0.156928 0.533333 0.845401 
0.658823 0.657763 0.031373 0.344423 
0.407843 0.908180 0.784314 0.093933 
0.909803 0.407346 0.282353 0.594912 
0.094118 0.469950 0.847059 0.407045 
0.596078 0.970785 0.345098 0.908023 
0.345098 0.720367 0.596078 0.657534 
0.847058 0.219533 0.094118 0.156556 
0.219608 0.845576 0.219608 0.532290 
0.721568 0.344741 0.721569 0.031311 
0.470588 0.094324 0.470588 0.281800 
0.972548 0.595159 0.972549 0.782779 
0.015687 0.797997 0.956863 0.673190 
0.517647 0.297162 0.454902 0.172211 
0.266667 0.046745 0.705882 0.422701 
0.768628 0.547579 0.203922 0.923679 
0.141177 0.422371 0.078431 0.297456 
0.643138 0.923205 0.580392 0.798434 
0.392157 0.672788 0.329412 0.547945 
0.894118 0.171953 0.831373 0.046967 
0.078432 0.234558 0.266667 0.986301 
0.580393 0.735392 0.768627 0.485323 
0.329412 0.985810 0.015686 0.234834 
0.831373 0.484975 0.517647 0.735812 
0.203922 0.610184 0.643137 0.109589 
0.705883 0.109349 0.141176 0.610567 
0.454902 0.359766 0.894118 0.861057 
0.956863 0.860601 0.392157 0.360078 
0.047060 0.266277 0.611765 0.579256 
0.549020 0.767112 0.109804 0.078278 
0.298040 0.516694 0.862745 0.328767 
0.800000 0.015860 0.360784 0.829746 
0.172550 0.892321 0.486275 0.454012 
0.674510 0.391486 0.988235 0.954990 
0.423530 0.141068 0.235294 0.704501 
0.925490 0.641903 0.737255 0.203522 
0.109805 0.704508 0.172549 0.767123 
0.611765 0.203673 0.674510 0.266145 
0.360785 0.454090 0.423529 0.015656 
0.862745 0.954925 0.925490 0.516634 
0.235295 0.078464 0.800000 0.140900 
0.737255 0.579299 0.298039 0.641879 
0.486275 0.829716 0.549020 0.892368 
0.988235 0.328881 0.047059 0.391389 
0.007843 0.665275 0.525490 0.383562 
0.509804 0.164441 0.023529 0.884540 
0.258824 0.414858 0.776471 0.634051 
0.760784 0.915693 0.274510 0.133072 
0.133334 0.039232 0.400000 0.508806 
0.635294 0.540067 0.901961 0.007828 
0.384314 0.790484 0.149020 0.258317 
0.886274 0.289649 0.650980 0.759295 
0.070589 0.352254 0.211765 0.195695 
0.572549 0.853088 0.713725 0.696673 
0.321569 0.602671 0.462745 0.947162 
0.823529 0.101836 0.964706 0.446184 
0.196079 0.978297 0.839216 0.821918 
0.698039 0.477462 0.337255 0.320939 
0.447059 0.227045 0.588235 0.070450 
0.949019 0.727880 0.086275 0.571429 
0.039216 0.132721 0.933333 0.352250 
0.541177 0.633556 0.431373 0.853229 
0.290196 0.883973 0.682353 0.602740 
0.792157 0.383139 0.180392 0.101761 
0.164706 0.508347 0.054902 0.727984 
0.666667 0.007513 0.556863 0.227006 
0.415686 0.257930 0.305882 0.477495 
0.917647 0.758765 0.807843 0.978474 
0.101961 0.821369 0.368627 0.039139 
0.603922 0.320534 0.870588 0.540117 
0.352941 0.070117 0.117647 0.790607 
0.854902 0.570952 0.619608 0.289628 
0.227451 0.445743 0.745098 0.915851 
0.729412 0.946578 0.243137 0.414873 
0.478431 0.696160 0.996078 0.164384 
0.980392 0.195326 0.494118 0.665362 
0.023529 0.398998 0.447059 0.806262 
0.525490 0.899833 0.949020 0.305284 
0.274509 0.649416 0.196078 0.054795 
0.776470 0.148581 0.698039 0.555773 
0.149019 0.774624 0.572549 0.180039 
0.650980 0.273790 0.070588 0.681018 
0.399999 0.023372 0.823529 0.931507 
0.901960 0.524207 0.321569 0.430528 
0.086274 0.586811 0.760784 0.618395 
0.588235 0.085977 0.258824 0.117417 
0.337254 0.336394 0.509804 0.367906 
0.839215 0.837229 0.007843 0.868885 
0.211764 0.211185 0.133333 0.493151 
0.713725 0.712020 0.635294 0.994129 
0.462744 0.962437 0.384314 0.743640 
0.964705 0.461603 0.886275 0.242661 
0.054902 0.931553 0.101961 0.962818 
0.556862 0.430718 0.603922 0.461840 
0.305882 0.180301 0.352941 0.211350 
0.807842 0.681135 0.854902 0.712329 
0.180392 0.305509 0.980392 0.086106 
0.682352 0.806344 0.478431 0.587084 
0.431372 0.555927 0.729412 0.837573 
0.933332 0.055092 0.227451 0.336595 
0.117647 0.117696 0.666667 0.649706 
0.619607 0.618531 0.164706 0.148728 
0.368627 0.868948 0.917647 0.399217 
0.870587 0.368114 0.415686 0.900196 
0.243137 0.743740 0.290196 0.273973 
0.745097 0.242905 0.792157 0.774951 
0.494117 0.493322 0.039216 0.524462 
0.996078 0.994157 0.541176 0.023483 
0.003921 0.997496 0.309804 0.575342 
0.505882 0.496661 0.811765 0.074364 
0.254901 0.246244 0.058824 0.324853 
0.756862 0.747078 0.560784 0.825832 
0.129411 0.371452 0.686275 0.450098 
0.631372 0.872287 0.184314 0.951076 
0.380391 0.621870 0.937255 0.700587 
0.882352 0.121035 0.435294 0.199609 
0.066666 0.058431 1.000000 0.763209 
0.568627 0.559265 0.498039 0.262231 
0.317646 0.809683 0.749020 0.011742 
0.819607 0.308848 0.247059 0.512720 
0.192156 0.684474 0.121569 0.136986 
0.694117 0.183639 0.623529 0.637965 
0.443136 0.434057 0.372549 0.888454 
0.945097 0.934891 0.874510 0.387476 
0.035294 0.465776 0.152941 0.669276 
0.537254 0.966611 0.654902 0.168297 
0.286274 0.716194 0.403922 0.418787 
0.788234 0.215359 0.905882 0.919765 
0.160784 0.841402 0.780392 0.293542 
0.662744 0.340568 0.278431 0.794521 
0.411764 0.090150 0.529412 0.544031 
0.913724 0.590985 0.027451 0.043053 
0.098039 0.528381 0.592157 0.982387 
0.599999 0.027546 0.090196 0.481409 
0.349019 0.277963 0.843137 0.230920 
0.850979 0.778798 0.341176 0.731898 
0.223529 0.152755 0.466667 0.105675 
0.725489 0.653589 0.968627 0.606654 
0.474509 0.904007 0.215686 0.857143 
0.976470 0.403172 0.717647 0.356164 
0.019608 0.199499 0.733333 0.246575 
0.521569 0.700334 0.231373 0.747554 
0.270588 0.950751 0.984314 0.998043 
0.772549 0.449917 0.482353 0.497065 
0.145098 0.575125 0.356863 0.872798 
0.647059 0.074290 0.858824 0.371820 
0.396078 0.324708 0.105882 0.121331 
0.898039 0.825543 0.607843 0.622309 
0.082353 0.762938 0.043137 0.434442 
0.584314 0.262104 0.545098 0.935421 
0.333333 0.011686 0.294118 0.684931 
0.835294 0.512521 0.796078 0.183953 
0.207843 0.387312 0.921569 0.559687 
0.709804 0.888147 0.419608 0.058708 
0.458823 0.637730 0.670588 0.309198 
0.960784 0.136895 0.168627 0.810176 
0.050981 0.732053 0.827451 0.027397 
0.552941 0.231219 0.325490 0.528376 
0.301961 0.481636 0.576471 0.778865 
0.803921 0.982471 0.074510 0.277886 
0.176471 0.106010 0.200000 0.904110 
0.678431 0.606845 0.701961 0.403131 
0.427451 0.857262 0.450980 0.152642 
0.929411 0.356427 0.952941 0.653620 
0.113726 0.293823 0.388235 0.340509 
0.615686 0.794658 0.890196 0.841487 
0.364706 0.544240 0.137255 0.590998 
0.866666 0.043406 0.639216 0.090020 
0.239216 0.919866 0.513725 0.716243 
0.741176 0.419032 0.011765 0.215264 
0.490196 0.168614 0.764706 0.465753 
0.992157 0.669449 0.262745 0.966732 
0.011765 0.332220 0.788235 0.943249 
0.513725 0.833055 0.286275 0.442270 
0.262745 0.582638 0.537255 0.191781 
0.764705 0.081803 0.035294 0.692759 
0.137255 0.958264 0.160784 0.066536 
0.639215 0.457429 0.662745 0.567515 
0.388235 0.207012 0.411765 0.818004 
0.890195 0.707846 0.913725 0.317025 
0.074510 0.645242 0.474510 0.630137 
0.576470 0.144407 0.976471 0.129159 
0.325490 0.394825 0.223529 0.379648 
0.827450 0.895659 0.725490 0.880626 
0.200000 0.019199 0.600000 0.254403 
0.701960 0.520033 0.098039 0.755382 
0.450980 0.770451 0.850980 0.504892 
0.952940 0.269616 0.349020 0.003914 
0.043137 0.864775 0.631373 0.786693 
0.545098 0.363940 0.129412 0.285714 
0.294117 0.113523 0.882353 0.035225 
0.796078 0.614357 0.380392 0.536204 
0.168627 0.489149 0.254902 0.160470 
0.670588 0.989983 0.756863 0.661448 
0.419607 0.739566 0.003922 0.911937 
0.921568 0.238731 0.505882 0.410959 
0.105882 0.176127 0.066667 0.598826 
0.607843 0.676962 0.568627 0.097847 
0.356862 0.927379 0.317647 0.348337 
0.858823 0.426544 0.819608 0.849315 
0.231372 0.551753 0.945098 0.473581 
0.733333 0.050918 0.443137 0.974560 
0.482353 0.301336 0.694118 0.724070 
0.984313 0.802170 0.192157 0.223092 
0.027452 0.598497 0.239216 0.363992 
0.529412 0.097663 0.741176 0.864971 
0.278432 0.348080 0.490196 0.614481 
0.780392 0.848915 0.992157 0.113503 
0.152942 0.222871 0.866667 0.739726 
0.654902 0.723706 0.364706 0.238748 
0.403922 0.974124 0.615686 0.489237 
0.905882 0.473289 0.113725 0.990215 
0.090197 0.410684 0.552941 0.050881 
0.592157 0.911519 0.050980 0.551859 
0.341177 0.661102 0.803922 0.802348 
0.843137 0.160267 0.301961 0.301370 
0.215687 0.786311 0.427451 0.927593 
0.717647 0.285476 0.929412 0.426614 
0.466667 0.035058 0.176471 0.176125 
0.968627 0.535893 0.678431 0.677104 
0.058824 0.066778 0.333333 0.395303 
0.560785 0.567613 0.835294 0.896282 
0.309804 0.818030 0.082353 0.645793 
0.811765 0.317195 0.584314 0.144814 
0.184314 0.692821 0.709804 0.520548 
0.686275 0.191987 0.207843 0.019569 
0.435294 0.442404 0.960784 0.270059 
0.937255 0.943239 0.458824 0.771037 
0.121569 0.880634 0.898039 0.207436 
0.623530 0.379800 0.396078 0.708415 
0.372549 0.129382 0.647059 0.958904 
0.874510 0.630217 0.145098 0.457926 
0.247059 0.254591 0.019608 0.833659 
0.749020 0.755426 0.521569 0.332681 
0.498039 0.505008 0.270588 0.082192 
1.000000 0.004174 0.772549 0.583170 
0.001961 0.502504 0.911765 0.859100 
0.503921 0.001669 0.409804 0.358121 
0.252941 0.252087 0.660784 0.107632 
0.754901 0.752922 0.158824 0.608611 
0.127451 0.126878 0.033333 0.232877 
0.629411 0.627713 0.535294 0.733855 
0.378431 0.878130 0.284314 0.984344 
0.880391 0.377295 0.786275 0.483366 
0.064706 0.439900 0.347059 0.545988 
0.566666 0.940735 0.849020 0.045010 
0.315686 0.690317 0.096078 0.295499 
0.817646 0.189482 0.598039 0.796478 
0.190196 0.815526 0.723529 0.420744 
0.692156 0.314691 0.221569 0.921722 
0.441176 0.064274 0.974510 0.671233 
0.943136 0.565109 0.472549 0.170254 
0.033333 0.033389 0.503922 0.890411 
0.535294 0.534224 0.001961 0.389433 
0.284313 0.784641 0.754902 0.138943 
0.786274 0.283806 0.252941 0.639922 
0.158823 0.659432 0.378431 0.013699 
0.660784 0.158598 0.880392 0.514677 
0.409803 0.409015 0.127451 0.765166 
0.911764 0.909850 0.629412 0.264188 
0.096078 0.972454 0.190196 0.702544 
0.598039 0.471619 0.692157 0.201566 
0.347058 0.221202 0.441176 0.452055 
0.849019 0.722037 0.943137 0.953033 
0.221568 0.346411 0.817647 0.326810 
0.723529 0.847245 0.315686 0.827789 
0.472548 0.596828 0.566667 0.577299 
0.974509 0.095993 0.064706 0.076321 
0.017647 0.299666 0.111765 0.467710 
0.519608 0.800501 0.613725 0.968689 
0.268628 0.550083 0.362745 0.718200 
0.770588 0.049249 0.864706 0.217221 
0.143138 0.925710 0.990196 0.592955 
0.645098 0.424875 0.488235 0.091977 
0.394118 0.174457 0.739216 0.342466 
0.896078 0.675292 0.237255 0.843444 
0.080393 0.737896 0.676471 0.154599 
0.582353 0.237062 0.174510 0.655577 
0.331373 0.487479 0.927451 0.906067 
0.833333 0.988314 0.425490 0.405088 
0.205883 0.111853 0.300000 0.780822 
0.707843 0.612688 0.801961 0.279843 
0.456863 0.863105 0.049020 0.029354 
0.958823 0.362270 0.550980 0.530333 
0.049020 0.768781 0.456863 0.311155 
0.550981 0.267947 0.958824 0.812133 
0.300000 0.017529 0.205882 0.561644 
0.801961 0.518364 0.707843 0.060665 
0.174510 0.393155 0.582353 0.686888 
0.676471 0.893990 0.080392 0.185910 
0.425490 0.643573 0.833333 0.436399 
0.927451 0.142738 0.331373 0.937378 
0.111765 0.205342 0.770588 0.123288 
0.613726 0.706177 0.268627 0.624266 
0.362745 0.956594 0.519608 0.874755 
0.864706 0.455760 0.017647 0.373777 
0.237255 0.580968 0.143137 1.000000 
0.739216 0.080134 0.645098 0.499022 
0.488235 0.330551 0.394118 0.248532 
0.990196 0.831386 0.896078 0.749511 
0.009804 0.166110 0.433333 0.726027 
0.511765 0.666945 0.935294 0.225049 
0.260784 0.917362 0.182353 0.475538 
0.762745 0.416528 0.684314 0.976517 
0.135294 0.541736 0.558824 0.350294 
0.637255 0.040902 0.056863 0.851272 
0.386274 0.291319 0.809804 0.600783 
0.888235 0.792154 0.307843 0.099804 
0.072549 0.854758 0.872549 0.913894 
0.574510 0.353923 0.370588 0.412916 
0.323529 0.103506 0.621569 0.162427 
0.825490 0.604341 0.119608 0.663405 
0.198039 0.479132 0.245098 0.037182 
0.700000 0.979967 0.747059 0.538160 
0.449019 0.729549 0.496078 0.788650 
0.950980 0.228715 0.998039 0.287671 
0.041177 0.636060 0.025490 0.506849 
0.543137 0.135225 0.527451 0.005871 
0.292157 0.385643 0.276471 0.256360 
0.794117 0.886477 0.778431 0.757339 
0.166667 0.010017 0.903922 0.381605 
0.668627 0.510851 0.401961 0.882583 
0.417647 0.761269 0.652941 0.632094 
0.919607 0.260434 0.150980 0.131115 
0.103922 0.323038 0.715686 0.819961 
0.605882 0.823873 0.213725 0.318982 
0.354902 0.573456 0.966667 0.068493 
0.856862 0.072621 0.464706 0.569472 
0.229412 0.949082 0.339216 0.193738 
0.731372 0.448247 0.841176 0.694716 
0.480392 0.197830 0.088235 0.945205 
0.982353 0.698664 0.590196 0.444227 
0.025490 0.901503 0.605882 0.084149 
0.527450 0.400668 0.103922 0.585127 
0.276470 0.150250 0.856863 0.835616 
0.778430 0.651085 0.354902 0.334638 
0.150980 0.275459 0.480392 0.960861 
0.652940 0.776294 0.982353 0.459883 
0.401960 0.525876 0.229412 0.209393 
0.903920 0.025042 0.731373 0.710372 
0.088235 0.087646 0.166667 0.272016 
0.590195 0.588481 0.668627 0.772994 
